Nom,Isin,Symbole,Marche,Mic,Nom
CANDELA_INVEST,BE0974298300,CAND,Alternext_Brussels,ALXB,ALTAMIR
CO.BR.HA,BE0003519270,COBH,Alternext_Brussels,ALXB,EURO_DISNEY
EMAKINA_GROUP,BE0003843605,ALEMK,Alternext_Brussels,ALXB,BIOCARTIS
EUROPUBLIDIS,BE0003842599,ALPBS,Alternext_Brussels,ALXB,AP_ALTERNAT_ASSETS
EVADIX,BE0003840577,ALEVA,Alternext_Brussels,ALXB,ALBIOMA
KKO_INT_WARRANT_A,BE0974285174,KKOWA,Alternext_Brussels,ALXB,FIGEAC_AERO
KKO_INTERNATIONAL,BE0974284169,ALKKO,Alternext_Brussels,ALXB,NICOX
SETTLEMENTS,BE0974261902,STTL,Alternext_Brussels,ALXB,ROTHSCHILD_&_CO
SOFTIMAT,BE0003773877,SOFT,Alternext_Brussels,ALXB,AMSTERDAM_COMMOD.
ISA,PTIAN0AM0001,ALISA,Alternext_Lisbon,ALXL,ESSO
NEXPONOR-SICAFI,PTNEX0AM0002,ALNOR,Alternext_Lisbon,ALXL,BONDUELLE
PATRIS,PTPRS0AM0009,ALPTR,Alternext_Lisbon,ALXL,BINCKBANK
1000MERCIS,FR0010285965,ALMIL,Alternext_Paris,ALXP,BASIC-FIT
A2MICILE_EUROPE,FR0010795476,ALA2M,Alternext_Paris,ALXP,ONXEO
ACCES_INDUSTRIE,FR0010567032,ALACI,Alternext_Paris,ALXP,PARROT
ACHETER-LOUER.FR,FR0010493510,ALALO,Alternext_Paris,ALXP,BILENDI
ADA,FR0000053076,ALADA,Alternext_Paris,ALXP,MDXHEALTH
ADOMOS,FR0013247244,ALADO,Alternext_Paris,ALXP,SOLUTIONS_30_SE
ADOMOS_BS,FR0013247228,ALABS,Alternext_Paris,ALXP,SCHLUMBERGER
ADTHINK_MEDIA,FR0010457531,ALADM,Alternext_Paris,ALXP,FFP
AGROGENERATION,FR0010641449,ALAGR,Alternext_Paris,ALXP,NATUREX
